precipitacao;pressao;temperatura;umidade
0;887,7;20,1;87
0;888,1;19,2;90
0;887,8;19,3;90
0;887,8;19,3;91
0;887,6;19,7;90
0;886,7;19,1;92
0;886,3;18,5;92
0;886,4;18,5;93
0;886,5;18,2;92
0;887,1;18,1;93
0;887,9;19;91
0,2;888,4;19,4;89
0;888,6;21;83
0;888,7;22,5;76
0;888,3;23,6;73
0;887,8;25,3;60
0;887,1;26,4;55
0;886,1;26,3;53
0;885,3;26,9;54
0;884,8;25,9;56
0;884,4;26,7;53
0;884,6;25;60
0;885,2;24,1;63
0;886,1;23,4;67
0;886,6;23,2;68
0;887,5;21,9;76
0;887,4;22,8;71
0;887,2;22,7;69
0;886,7;22,1;69
0;885,9;21,4;75
0;885,6;21,1;76
0;885,5;20,6;77
0;886;19,9;80
0;886,1;20,1;79
0;886,7;21,4;70
0;887,1;22,5;62
0;887,7;23,4;58
0;887,7;24,5;61
0;887,3;25,8;55
0;886,3;27,2;51
0;885,3;26,9;49
0;884,1;26,9;48
0;883,5;27,7;50
0;882,4;26,1;53
0;882,8;23,8;65
11;883,5;20,9;90
4,8;883,3;20,4;91
0;884,7;19,7;88
0;885,6;19,7;85
0;886,4;19,5;89
0;886,4;19,2;90
0;885,9;18,8;90
0;885,2;18,5;91
0;884,4;18,3;92
0;884;18,3;92
0;884,1;18,2;92
0;884,5;18,1;93
0;885,4;18,4;90
0;886;19,3;91
0;886,5;19,7;89
0;887;21,4;80
0;887,4;22,7;73
0;886,9;23,1;71
0;886;25,2;63
0;885,2;26,3;53
0;884,4;27,6;51
0;883,8;24,6;58
0;884,4;23,3;61
0;884,5;20,7;82
0;884,8;19,8;86
0,2;885,1;19,7;90
0,2;885,5;19,1;92
0;885,6;19,7;92
0;886,5;19;93
0,2;887,2;19,2;93
0;886,6;19;93
0;886;18,9;90
0;885,6;18,2;92
0;885,1;18;93
0;885,4;17,8;94
0;885,7;17,7;94
0;886,1;17,9;94
0;886,6;19,1;92
0;887,3;20,5;86
0;887,6;22,3;72
0;887,9;22,7;71
1;887,5;21,8;78
0;886,6;23,4;67
0;885,9;25,2;60
0;885,6;22,3;71
0;884,4;25,1;57
0;883,8;24,5;60
0;883,6;23,6;65
0;883,9;21,6;77
0;884,2;19,9;82
0;885;19,6;84
0;885,4;19,6;84
0;886,2;19,7;84
0;886,6;19,4;86
0;886,4;19,4;87
0;885,8;19,3;87
0;885,6;19,3;87
0;885,3;18,9;90
0;884,9;18,9;91
0;885,1;18,9;91
0;885,5;18,8;92
0;886;19,6;90
0;886,3;21,1;81
0;887;22,2;75
0;887,2;23,4;71
0,6;887,3;19,3;88
0,2;886,6;21,9;86
0;885,6;22,9;71
0;885,1;24,4;68
0;884,3;24;66
0;883,4;24,9;61
0;883,4;25;61
0;883,8;23,6;67
0;884,5;22,2;74
0;885,2;21,2;79
0;885,8;20,9;81
0;886,3;20;84
0;886,6;20,1;85
0;886;20;86
0;885,5;19,5;91
0;885;19,5;91
0;884,9;19,4;92
0;884,9;19,4;92
0,2;885,3;19,2;93
0;885,8;19,1;93
0,8;886,3;19;92
1,8;887,2;19,2;92
0,4;887,9;19,3;92
1,2;888,2;19,7;91
0,4;888,3;20;90
1,4;888;19,5;90
0;887,6;20,1;88
0,8;887;19,6;88
0;886,1;21;77
0;885,3;21,4;76
0;885;20,4;79
0;885,2;20;82
0;885,7;18,7;93
0;886,5;18,6;92
0;887,4;18,9;92
0;888,3;18,6;92
0;888,7;18,4;92
0;888,6;18,2;92
0,2;888,2;18;92
0,2;887,4;17,8;93
0;886,9;17,8;93
0;886,6;17,8;93
0;886,8;17,5;94
0;887,4;17,7;94
0;888,2;18,3;92
0;888,6;19,1;90
0;889;21,3;77
0;889,2;23,3;67
0;889;23,4;64
0;888,3;23,7;63
0;887,3;26,2;55
0;886,4;24,9;61
0;885,6;26,2;54
0;884,9;25,2;60
0;885,1;24;64
8,6;885,8;20,9;86
0;886,3;20,9;85
0;887,4;20,2;89
0;887,8;19,4;90
0;888,1;19,3;91
0;888,4;19;91
0;888,2;18,8;93
0;887,4;18,6;92
0;886,9;17,9;92
0;886,4;17,7;93
0;886,2;18;93
0;886,4;18,2;91
0;886,9;18,3;92
0;887,6;18,9;90
0;888,4;19,8;84
0;889,2;20,7;81
0;889,6;21,6;77
0;889,3;23,6;69
0;888,6;21,9;73
0,4;887,8;23,3;72
0;887;23;67
0;886,2;23,1;73
0;885,8;22,8;74
0;885,2;21,3;74
0;885,8;20,9;80
0;886,6;20,6;82
0;887,3;20,3;87
0;888,1;20,1;88
0;888,8;19,8;92
0;888,6;18,8;85
0;888;18,4;86
0,2;886,8;17,9;91
0;886,6;17,6;92
0;886,9;17,7;91
0;886,7;18,3;90
