precipitacao;pressao;temperatura;umidade
1.4;884;20;92
.1;885.3;22.5;84
.1;883.3;20.4;87
0;884.1;20.7;87
.2;885.3;23;77
0;883.3;25.4;65
0;885.1;21;88
26.2;886.2;21.6;84
0;883.3;26.5;61
0;884.3;20.7;89
4.8;883.8;21.3;83
6.2;883.3;19.7;96
6.6;884.2;19.5;98
41;884.9;20.5;95
5.4;883.5;18.4;91
3.6;884.9;18.7;95
1;886.2;21.2;82
0;884.5;22.8;78
0;885.8;20.6;88
0;887.7;21.9;82
0;884.1;27.2;58
0;886.3;21.7;90
2.6;887.5;22;87
0;885.9;26.5;60
0;886.7;22.4;75
0;887.9;23.1;81
4.5;886.3;20.7;94
5.9;886.6;19;97
.1;887.7;23.9;75
0;885.5;29;50
0;885.7;23.1;83
.7;887.1;25.2;70
0;884.9;29.6;40
0;886.3;25.2;50
0;888.7;26;52
0;885.8;29.7;34
0;885.8;23.7;66
0;887.8;27.2;47
0;885.5;30.1;32
0;885.8;23.4;76
0;887.4;26;61
0;885;30.1;34
0;885.7;25.1;62
0;886.9;25.5;58
0;885;29.5;44
0;885.9;25.7;58
0;889.3;26.1;57
0;886.2;30.4;43
0;887.3;23.3;61
0;889;25.4;63
0;886.7;29;49
1.1;888.6;20.1;88
.4;889.4;21.4;82
0;887.7;24.7;71
0;887;22.7;72
0;888.3;24.7;69
0;885.5;26.1;56
0;885.6;23.5;72
4.2;886.6;24.4;73
0;883.4;27.4;61
0;883.9;23.5;78
7.6;884.3;22.5;85
.2;882.2;26;68
.4;883.4;20.1;91
.1;883.4;20.7;88
0;882.2;21.5;86
.7;883.8;19.8;95
6.4;883.1;19.7;95
.1;881;23.8;72
.7;881.8;20.1;94
8.6;882.6;19.9;94
2.2;881.3;21.6;89
.9;882.6;19.7;96
24.2;885;19.6;97
1.1;884.1;22.1;83
13.7;885.3;19.2;98
32.4;886.1;19.5;96
.2;883.9;24.4;76
47.6;885.1;19.4;97
1.2;886.5;22.8;85
6.8;884.1;21.1;95
.6;883.7;19.1;95
.1;887.7;20.9;86
.5;885.7;24.3;70
2.6;886.3;19.3;94
.2;889.4;22.2;77
0;886.9;27.1;55
0;888.1;21.8;79
0;889.7;24.4;71
0;887.4;28.4;53
0;888.1;21.5;81
0;889.4;25.5;68
0;886.1;29.5;39
0;887.3;24.1;62
0;889.3;25.7;58
0;885.8;29.6;38
0;886.6;23.1;73
0;888.7;24.9;71
0;885.5;29.2;40
0;887.5;23.4;78
0;887.5;25.4;64
0;884.5;29.5;44
4.8;886.6;20.5;95
15.5;888.6;22.8;82
0;886.5;23.2;64
0;887.4;18.9;91
0;888.2;22;77
0;884.1;28.4;50
.2;887.7;20.4;89
12;887.8;22;82
8.7;885.3;20.2;93
8.7;885.8;19.2;96
17.6;885.7;18.5;94
3.3;883.3;19.7;91
5.5;885.1;19.1;96
12.4;886.2;18.5;95
3.5;883.7;20.5;89
1.9;885.3;18.4;94
5.2;888.9;18.1;95
1.5;888.1;21.7;74
0;888.5;18.8;90
1;890.3;21.8;81
0;887.3;27.2;46
.2;888.1;19.9;88
1.4;889;22.8;82
.8;885.4;25.8;60
0;886.7;21.5;85
2.2;887.1;22.8;77
0;885;25.2;70
.3;887.4;20.3;88
1.9;887.5;22.2;77
0;885.8;27.5;52
.4;886.6;21.5;89
1.7;887.4;23.7;72
3.1;885.1;25.5;61
0;887.4;21.4;89
0;887.4;24.8;69
0;885;25.1;67
1.4;886.3;21.8;79
0;887.5;23.9;74
0;885.7;24.8;70
0;886.5;21.8;81
0;887.4;24.7;72
0;885.4;28.5;44
0;886.7;22.1;73
0;888.1;23.1;73
0;885.7;26.5;53
0;885.9;24.6;59
0;886.2;24.9;66
0;883.7;24.5;60
3.9;884.6;20.3;96
.1;886.3;23.4;74
.9;883.9;23.6;83
.1;884.5;20.7;86
15.4;887.5;22.1;85
0;885.3;25.5;68
.2;886.9;22.5;79
0;888.6;23.2;76
3;884.9;25.6;65
0;888.1;21.2;85
0;888.6;22.2;85
.1;885.9;24.4;75
0;888.2;19.8;88
1.5;888.2;23.4;81
9.1;887.4;19.4;94
7.6;886.9;19.5;96
.2;888.7;20.8;91
.2;885.5;25.5;63
0;886.2;20.8;89
1.4;887.4;21.3;89
.3;884.7;20.9;87
.6;885.7;20.5;91
0;886.1;24;71
0;883.7;29.3;49
0;885.9;22.8;81
0;888.2;24.3;78
7.7;887;20.5;92
1;887.5;19.5;94
.2;889.4;21.1;87
2.4;887.3;23.9;74
2.1;888.2;19.7;95
.1;888.3;21.1;85
2.7;885;25.2;68
0;886.1;21.3;91
.1;886.1;22.6;83
5;883.4;22.5;88
14.6;885.4;19.2;95
12.4;886.2;21.6;82
0;884.1;26;62
0;885.9;21.1;87
0;887.7;22.7;82
0;885.1;26.3;61
0;887.3;21.5;84
0;888.1;22.2;77
9.2;885.5;21.5;92
8.1;887;20;93
20.6;887.9;18.7;95
5.4;885.8;19.8;95
2.5;886.2;19.4;91
3;886.6;20.5;88
2.3;883.5;23.2;80
4.7;885.4;19.9;93
.2;886.7;22;81
0;884.1;27.9;52
17.5;886.6;20.1;93
1.8;888.1;21.9;85
0;886.2;25.3;64
0;887.3;22.4;73
0;888.1;21.9;82
0;884.9;27.5;53
0;886.5;22.5;73
0;887;21.9;76
0;884.5;26.1;55
.1;885.9;21.5;82
0;887.7;21.7;82
0;886.3;24.9;59
0;886.6;21.4;82
0;887.9;20.8;87
0;885.9;26.4;57
0;886.9;22.4;74
0;888.5;22.3;79
0;886.1;26.4;57
0;888.1;23;73
0;888.9;22;79
0;886.3;26.6;48
0;888.3;21.9;64
0;888.9;21.5;73
0;886.3;26.3;48
0;887.5;22.3;67
0;888.9;24;67
0;885.9;27.1;49
0;887;20.8;88
0;888.3;25;67
0;885;28.7;42
0;886.2;23.1;73
0;886.7;25.6;65
0;883.7;29.1;50
0;884.5;22.5;81
37.4;885.7;23;76
0;883.9;25;65
0;884.2;20.2;90
.5;886.1;20.7;90
0;883.4;24.9;69
0;886.7;20.2;91
12.2;888.1;21;91
0;885;26;61
7.9;887.5;20;97
.7;889.1;22.5;93
.7;885.4;25.5;68
0;887.5;20.7;91
10.4;888.1;19.3;96
6.8;885.4;21.3;87
.5;886.7;19.4;96
5.2;887.1;19.3;94
3.7;883.7;23.4;72
20.7;885.5;18.5;98
9.7;886.9;18.8;97
4.6;883.5;23.6;77
13.1;884.9;19.1;98
.1;886.6;21.2;84
4.7;884.6;23.1;73
0;885.9;20.7;91
0;889.1;21;85
0;886.6;24.8;68
10.2;888.1;18.9;97
.2;890.2;22;81
0;887.7;25.9;60
0;888.2;21.8;71
0;888.6;22.5;74
0;885.7;27.6;47
0;886.7;22.9;72
0;887.8;23.2;68
0;885.1;27.8;46
0;885.9;23.3;64
0;887.8;23.7;62
0;886.1;28.4;46
0;887.7;24;63
0;889.3;24.3;68
0;886.6;29.3;47
0;887.4;23;72
0;886.7;25.5;65
0;884.2;29.6;46
0;884.9;22.5;81
0;886.7;24.4;69
0;884.3;29.1;47
0;886.8;23;68
0;889.1;23.9;76
0;885.3;28.1;56
6.2;887.3;22.1;91
.1;889.5;24.1;76
3.4;887.3;23.4;76
0;886.9;21.5;90
0;888.7;23.5;78
0;886.3;26.4;62
1.4;888;21.2;88
.1;887.7;23.3;84
1.4;885.1;22.5;84
13.3;886.7;20.2;94
.1;886.9;22.4;86
.4;884.2;25;73
12.1;886.3;19.4;91
9.1;887.3;22.9;69
0;884.3;28.4;47
0;885.9;22.4;86
1.1;887.1;23.2;63
0;884.6;27.3;54
0;887.4;21.5;85
0;888.5;22.2;82
0;885.8;27.2;52
1.1;888.2;20.4;88
3.5;887.9;23;78
0;884.7;27.2;55
0;886.7;22;81
0;886.9;20.5;80
0;883.5;26.4;55
0;886.1;17.6;90
0;887.4;19.9;88
6.2;886.2;19.6;94
2.1;888.2;19;94
22.4;890.5;18.6;97
3.9;888.7;20.7;87
.6;890.7;19;97
.2;891.9;20.2;87
0;887.5;25.1;67
0;889.4;21.3;87
7.5;890.7;21.2;85
0;889;23.4;71
0;891;19.8;93
0;890.6;20.5;86
0;887.8;24.5;66
0;890.5;20.2;85
0;890.1;19.6;87
0;887.1;23.8;67
1.6;889.1;19.6;95
.5;889.3;20.9;83
1.9;887.5;21.2;87
.9;888.5;19.1;97
5.1;888.7;19.7;89
14.8;886.1;20.7;91
.4;884.1;19.5;94
7.5;888.3;20;92
5.1;885.7;22.5;88
25;887.7;19.6;97
.1;889.4;20.2;91
0;887.5;23.2;75
0;889.7;19.9;87
0;890.6;19.6;79
0;888.3;24.5;59
0;890.1;19.5;76
0;890.7;19;77
0;888.6;24.5;54
0;889.8;19.4;81
0;892.3;19.2;72
0;889.8;24.5;50
0;890.2;19.4;77
0;891.5;18.9;72
0;889;24.4;52
0;890.3;19.3;71
0;891.8;19.5;73
0;888.7;24.7;45
0;889.8;19.5;72
0;891.3;20.6;62
0;888.6;24.8;49
0;890.5;20.1;66
0;892.3;21.1;63
0;889.4;25.3;45
0;890.6;19.3;72
0;890.7;21.3;57
0;887;26.1;39
0;889;18.7;77
0;889.9;21.8;56
0;886.6;25.9;35
0;888.3;18.8;68
0;888.6;22.5;48
0;885.7;26;33
0;887.1;20.5;65
0;888.3;22.2;58
0;885.7;26.7;39
0;887.7;19.7;76
0;889.1;21;74
0;886.5;26.7;41
0;887.4;19.5;81
0;889.4;19;86
0;888.1;21.8;69
.2;889.7;19;87
0;890.7;19;82
0;888.7;22.8;64
0;890.5;18.3;89
0;891.7;17.3;87
0;889.5;21.3;66
0;891.7;17.8;82
0;892.1;17.2;85
0;888.9;23.4;53
0;890.1;18.7;74
0;891.3;18.2;73
0;889.3;24.2;41
0;890.3;19.1;69
0;890.1;20.1;66
0;886.6;23.7;51
0;888.5;16.9;75
0;889.3;20.4;74
0;886.6;25.7;56
0;887.9;18.1;87
0;889.3;22.3;71
.2;886.7;23;71
5.5;888.5;19.3;94
.2;889.7;19;94
.8;886.9;24.4;61
0;888.5;20;87
.7;889.1;20.6;84
3.2;886.3;22.8;78
15.1;887.9;18.3;97
.4;889.7;18;97
0;887.7;23.5;68
0;889.7;18.9;90
0;891.1;18;91
0;888.5;23.5;61
0;890.2;19.6;80
0;893.1;18;84
0;890.1;22.4;60
0;890.9;19.5;74
0;892.6;17.7;87
0;890.2;21.4;70
0;891.8;18.2;86
0;891.9;18.2;79
0;888.9;25.3;48
0;890.3;19.6;75
0;891.7;20.1;76
0;888.9;24.7;57
0;889.4;20.5;71
0;891.7;22.5;73
0;887.9;27.1;47
0;889;20.5;81
.3;890.5;18.9;93
0;886.6;26;53
0;888.7;19.5;89
.2;888.9;20.4;87
0;886.2;24.8;58
0;888.1;19.5;80
0;888.6;18.2;79
0;886.3;24.8;44
0;887.5;16.5;74
0;889;16.7;56
0;887;26.2;31
0;888.2;16.2;68
0;889.8;18.1;51
0;887.3;24.7;39
0;889.3;17.7;60
0;890.6;17.2;59
0;888.3;23.5;39
0;889.5;16.5;71
0;891.1;15.8;69
0;888.1;22.5;46
0;889.3;16.7;68
0;890.5;17.5;62
0;887.8;23.7;41
0;889;16;79
0;889.7;18.7;65
0;886.6;25.4;40
0;888.6;17.1;72
0;889.7;21.3;65
0;886.9;25.1;43
0;889;17.4;83
0;890.3;21.7;66
0;887.8;27.2;41
0;889.4;21.3;71
0;892.1;20.9;72
0;888.9;24.8;55
0;890.5;20.7;72
0;892.2;20.6;75
0;888.9;25.7;54
0;889.4;20.4;75
0;891.8;20.8;70
0;888.6;26.8;49
0;890.6;20.6;75
0;892.3;19.8;74
0;889.9;26;45
0;891.1;20.1;73
0;891.3;20.9;64
0;888.7;25.8;46
0;889.9;20;75
0;890.5;21.1;67
0;887.4;25.4;40
0;888.6;18.4;71
0;890.7;21.9;53
0;888.2;24.7;36
0;889.3;19.7;62
0;891.1;21.9;58
0;889;25.7;34
0;889.3;20.7;56
0;889.8;21.6;52
0;886.5;25.6;41
0;888.6;20.9;54
0;891.4;21.2;54
0;888.9;26;37
0;890.6;20;56
0;891.3;20;57
0;889;24.7;42
0;887.5;19.1;64
0;893.1;17.5;67
0;890.6;22.4;43
0;892.7;16.9;77
0;893.8;16.3;86
0;891.1;22.5;55
0;892.5;18.6;74
0;891.4;16.4;85
0;890.7;20.1;63
0;891.3;17;81
.3;892.5;15.2;94
0;890.2;21.7;60
0;890.9;17.1;81
0;893;18;68
0;889.9;24.1;46
0;891.1;17.7;78
0;892.6;19.2;81
0;889.7;24.9;39
0;891.3;19.2;65
0;891.4;17.9;63
0;889.4;25.1;30
0;891.1;18.1;58
0;891.5;17.2;61
0;889;23.4;30
0;889.7;16.3;67
0;889.1;18.2;59
0;885.9;25.2;44
0;888.1;19.2;71
