precipitacao;temperatura;umidade;velocidade
6,6;21,72;86,25;2
0,3;22,36;79,5;3
26,2;21,82;80,75;4
4,8;20,6;93,75;4,009627
53,8;19,68;94;2
10;21,28;84;5
0;22,44;80;3,666667
2,6;22,8;74,25;2,333333
0;21,46;92,25;2,333333
10,5;23,72;72,75;1,1
0,7;25,06;52,5;1,34296
0;24,48;54,5;0,666667
0;24,82;57,75;1
0;25,46;54,75;0,34296
0;25,54;54,5;2
0;24,96;55,5;1
0;23,14;72;2,333333
1,5;22,36;74,25;1,34296
0;24,16;67,25;3,666667
4,2;24,08;72,5;1,34296
7,6;22,02;83,75;4
0,7;20,8;91;3,333333
7,1;20,68;88,75;5,333333
9,4;20,4;93,75;6,333333
27,3;20,04;94;5,666667
47,2;20,5;91,5;2,009627
49;21,4;92,5;2,666667
7,5;20,88;86;2,333333
3,3;22,52;72,5;1,34296
0;23,22;71,5;0,68592
0;24,68;57,75;0,34296
0;24,14;60,5;1
0;24,24;66,75;0,666667
0;23,12;74,5;2,352587
20,3;21,48;82;3,34296
0;21,94;76,25;2,333333
12,2;20,92;91,75;2,009627
35;18,8;94,25;2,352587
21,2;18,78;93;2,666667
10,6;19,02;87,25;4
2,5;21,84;75,75;0,666667
1,6;22,64;78;0
3;21,72;80,75;0,68592
2,2;22,44;76,75;2,009627
2,1;22,78;77,75;0,34296
3,1;22,86;73,5;1,676293
1,4;23,08;76,5;3,009627
0;23,64;65,5;2
0;23,86;61;1,333333
0;22,88;79,5;2
4;22,48;82,25;1,666667
16,4;23,24;77,75;2
0,2;21,86;77,75;0
3;21,56;84;1,02888
1,6;21,56;91,75;0,68592
16,9;21,68;83;0,34296
1,6;21,74;89,5;2,68592
0,9;23,42;70,5;2,019253
0;21,94;89,5;1,666667
8,9;20,58;87,75;0,68592
4,6;21,6;83,75;1,676293
2,8;21,34;90,25;1,37184
32;21,78;79,5;1,68592
0;22,46;77,75;2,333333
0;22;88,75;0,34296
37,9;19,3;93;2,34296
10,9;20,78;88,5;1,34296
7,2;21,88;79,75;3,333333
19,3;22,46;73,75;1,009627
0;22,9;70,25;1,7148
0;22,46;73,75;3
0,1;22,24;76,25;2,676293
0;22,58;73;2,666667
0;23,3;70,5;3
0;22,7;63,75;3
0;21,98;63,75;1
0;22,16;73;2,34296
0;24,14;63,75;1,009627
0;23,86;69,25;1,009627
37,4;21,84;80,25;3
0,5;21,34;85,25;3,333333
12,2;21,38;86,5;1,34296
8,6;22,3;85,75;0,68592
11,1;20,14;93,75;1,02888
12,5;19,82;90,5;2,333333
34,1;19,9;92,5;2,009627
17,8;21,1;84,75;2
4,7;20,54;86,75;1
10,4;22,34;70,75;2,34296
0;22,98;66,25;2,666667
0;22,96;60,5;2,34296
0;23,9;58,5;2,352587
0;24,04;64,75;1,676293
0;24,1;68,25;2,009627
0;24,06;63;3
0;23,7;78,5;1,352587
6,3;23,36;83;1,666667
3,4;22,66;79;2,34296
1,5;22,02;89;2,009627
14,8;21,5;85,25;1,666667
21,6;23,12;72;2
1,1;22,38;71,75;0,68592
0;22;77,5;0,68592
4,6;22,92;73,75;1,34296
0;20,02;78,75;2,333333
0;19,66;92,5;1,019253
30,7;19,24;94,5;1,34296
4,7;21,44;82;1,34296
7,5;20,96;85,5;1,68592
0;21,18;80,5;3
0;20,46;86;1,34296
2,1;20,2;91;1,352587
7,9;20,04;92;2,009627
22,7;20,28;93,5;0,666667
30,2;20,9;85;2
0;20,1;72,5;2,34296
0;19,46;73,25;1
0;20;69;3,333333
0;19,64;66,5;2,34296
0;19,46;65,5;0,666667
0;20,16;60,75;2,34296
0;20,02;63;0,34296
0;19,8;62,5;0,34296
0;20,04;56,75;0,68592
0;20,78;52,75;0,68592
0;20,82;62,25;0,34296
0;20,6;69,25;1,34296
0;19,56;82,25;1
0,2;19,36;81;0,68592
0;18,14;79,25;2,333333
0;18,86;71,5;2,34296
0;18,88;63;3,009627
0;18,54;66,75;1,34296
0;19,54;76;1,666667
0;20,36;82,5;1,009627
5,9;20,28;82,25;0,34296
1,5;20,22;89;1
18,7;19,18;86,25;1,676293
0;19,7;78;3
0;19,22;73;3,666667
0;18,6;82,25;3,666667
0;19,62;69,25;1,666667
0;20,5;68,75;2,34296
0;21,64;70,5;1
0,3;20,4;81;1,34296
0,2;20,66;76,25;3
0;18,12;67,75;2,009627
0;17,02;55,75;1
0;18,04;52,5;0
0;16,96;60;1,676293
0;16,56;62,75;1,34296
0;16,8;65,25;0,34296
0;18,32;62,25;0,34296
0;19,12;68,5;2,009627
0;21,32;62,25;2,34296
0;20,94;67,75;3,666667
0;20,84;69,75;3
0;20,84;67,25;2,333333
0;20,3;66,25;2,666667
0;20,26;65;1
0;19,78;62,25;2,34296
0;20,22;53,25;2,34296
0;20,78;51;0
0;20,56;50,25;2,333333
0;20,2;50,75;3
0;19,26;56,75;2
0;17,92;66;3,666667
0;18,26;72,25;4,333333
0;17,32;77,5;4,666667
0,3;17,22;79;2,009627
0;18,46;67,5;2
0;19,46;62,5;0
0;19,04;52,25;2,676293
0;16,94;56,25;2
0;18,7;61,25;2,666667
0;19,78;65,75;2,009627
0;20;59;1,68592
0;19,92;50,25;0
0;19,52;58,75;2,009627
0;18,78;59;1,68592
0;18;66,25;3,333333
0;17,54;63;2,009627
0;19,06;62;0,68592
0;19,72;66,25;1,009627
0;20,3;55;0
0;20,58;53;2,009627
0;19,3;58,5;3,333333
0;18,7;53,5;1,666667
