precipitacao;temperatura;umidade
6,6;21,72;86,25
0,3;22,36;79,5
26,2;21,82;80,75
4,8;20,6;93,75
53,8;19,68;94
10;21,28;84
0;22,44;80
2,6;22,8;74,25
0;21,46;92,25
10,5;23,72;72,75
0,7;25,06;52,5
0;24,48;54,5
0;24,82;57,75
0;25,46;54,75
0;25,54;54,5
0;24,96;55,5
0;23,14;72
1,5;22,36;74,25
0;24,16;67,25
4,2;24,08;72,5
7,6;22,02;83,75
0,7;20,8;91
7,1;20,68;88,75
9,4;20,4;93,75
27,3;20,04;94
47,2;20,5;91,5
49;21,4;92,5
7,5;20,88;86
3,3;22,52;72,5
0;23,22;71,5
0;24,68;57,75
0;24,14;60,5
0;24,24;66,75
0;23,12;74,5
20,3;21,48;82
0;21,94;76,25
12,2;20,92;91,75
35;18,8;94,25
21,2;18,78;93
10,6;19,02;87,25
2,5;21,84;75,75
1,6;22,64;78
3;21,72;80,75
2,2;22,44;76,75
2,1;22,78;77,75
3,1;22,86;73,5
1,4;23,08;76,5
0;23,64;65,5
0;23,86;61
0;22,88;79,5
4;22,48;82,25
16,4;23,24;77,75
0,2;21,86;77,75
3;21,56;84
1,6;21,56;91,75
16,9;21,68;83
1,6;21,74;89,5
0,9;23,42;70,5
0;21,94;89,5
8,9;20,58;87,75
4,6;21,6;83,75
2,8;21,34;90,25
32;21,78;79,5
0;22,46;77,75
0;22;88,75
37,9;19,3;93
10,9;20,78;88,5
7,2;21,88;79,75
19,3;22,46;73,75
0;22,9;70,25
0;22,46;73,75
0,1;22,24;76,25
0;22,58;73
0;23,3;70,5
0;22,7;63,75
0;21,98;63,75
0;22,16;73
0;24,14;63,75
0;23,86;69,25
37,4;21,84;80,25
0,5;21,34;85,25
12,2;21,38;86,5
8,6;22,3;85,75
11,1;20,14;93,75
12,5;19,82;90,5
34,1;19,9;92,5
17,8;21,1;84,75
4,7;20,54;86,75
10,4;22,34;70,75
0;22,98;66,25
0;22,96;60,5
0;23,9;58,5
0;24,04;64,75
0;24,1;68,25
0;24,06;63
0;23,7;78,5
6,3;23,36;83
3,4;22,66;79
1,5;22,02;89
14,8;21,5;85,25
21,6;23,12;72
1,1;22,38;71,75
0;22;77,5
4,6;22,92;73,75
0;20,02;78,75
0;19,66;92,5
30,7;19,24;94,5
4,7;21,44;82
7,5;20,96;85,5
0;21,18;80,5
0;20,46;86
2,1;20,2;91
7,9;20,04;92
22,7;20,28;93,5
30,2;20,9;85
0;20,1;72,5
0;19,46;73,25
0;20;69
0;19,64;66,5
0;19,46;65,5
0;20,16;60,75
0;20,02;63
0;19,8;62,5
0;20,04;56,75
0;20,78;52,75
0;20,82;62,25
0;20,6;69,25
0;19,56;82,25
0,2;19,36;81
0;18,14;79,25
0;18,86;71,5
0;18,88;63
0;18,54;66,75
0;19,54;76
0;20,36;82,5
5,9;20,28;82,25
1,5;20,22;89
18,7;19,18;86,25
0;19,7;78
0;19,22;73
0;18,6;82,25
0;19,62;69,25
0;20,5;68,75
0;21,64;70,5
0,3;20,4;81
0,2;20,66;76,25
0;18,12;67,75
0;17,02;55,75
0;18,04;52,5
0;16,96;60
0;16,56;62,75
0;16,8;65,25
0;18,32;62,25
0;19,12;68,5
0;21,32;62,25
0;20,94;67,75
0;20,84;69,75
0;20,84;67,25
0;20,3;66,25
0;20,26;65
0;19,78;62,25
0;20,22;53,25
0;20,78;51
0;20,56;50,25
0;20,2;50,75
0;19,26;56,75
0;17,92;66
0;18,26;72,25
0;17,32;77,5
0,3;17,22;79
0;18,46;67,5
0;19,46;62,5
0;19,04;52,25
0;16,94;56,25
0;18,7;61,25
0;19,78;65,75
0;20;59
0;19,92;50,25
0;19,52;58,75
0;18,78;59
0;18;66,25
0;17,54;63
0;19,06;62
0;19,72;66,25
0;20,3;55
0;20,58;53
0;19,3;58,5
0;18,7;53,5
0;18,56;59,25
0;19,4;55,25
0;20,14;46,5
0;18,94;49,5
0;19,92;53,25
0;20,02;50,75
0;18,26;50,25
0;20,1;35,25
0;19,62;40,25
0;19;43,75
0;18,44;55,5
0;18,56;52,5
0;17,48;58
0;18,56;50,75
0;18,76;56,5
0;19,5;49,5
0;18,46;47,25
0;19,2;49,5
0;18,98;55
0;18,8;53,5
0;19,32;59,75
0;19,92;59,75
0;21,18;40,75
0;19,58;44,75
0;18,42;54,25
0;17,86;53,5
0;18,24;55,75
0;17,24;53
0;17,34;48,25
0;16,68;55,5
0;17,12;50,5
0;17,22;61,5
0;17,96;51,25
0;18,6;54
0;20,38;47,5
0;21,16;43
0;21,54;44
0;21,14;42,75
0;21,86;47,25
0;22,36;41,75
0;23,28;46,5
0;23,7;44,75
0;23,66;45
0;23,88;44,5
0;24,32;43,25
0;20,5;57
0;20,14;58,25
0;19,12;69
0;20,32;57,25
0;19,96;45,75
0;18,58;36,75
0;19,96;30
